Samuli Kahakka
Aimo Lipasto
Jyrki Vauhtinpää
Risto Kuppa
Jari Kärry
Timotheus Rekka
Juhani Siipale
Rami Hörppy
Kalle Kulaus
Jyri Kirves
Reima Kalikka
Sami Vääntö
Kalevi Puuntakaa
Antero Tappila
Henri Putkilo
Henkka Kierrepotku
Heikki Pömpeli
Jarmo Takaylläri
Pirkka Pako-Putki
Veikko-Valle Vaselin
Aamu Myyrä
Jorma Kusihätä
Tuomo Ällötys
Olavi Jumi
Timo Mureke
Ari Nauta
Ossi Verilätty
Pekka Suolikohju
Pera Kameli
Eero Hanska
Mikael Tojota
Juha Laasti
Esko Rankki
Ville Sisä-Kumi
Rainer Kapakka
Joni Ropelli
Janne Murkula
Eno Lööperi
Joona Menos
Vili Hiukkanen
Riku Meisinki
Lari Lähmä
Urho Päre
Anton Räiskäle
Kristoffer Jöpötin
Heimo Päähine
Petri Luistin
Kristoff Polvisukka
Jarno Annos
Kalori Ostos
Lauri Jymy-Rumpa
Otso Kala-Apaja
Ismo Lirkki
Topias Mono
Niilo Kannikka
Simo Vako
